,Name,Base_price,Body_style,Seats,Base_Engine,Base_Power,Mileage,Drive,Towing,Min_cargo_L,Front_headroom,Front_legroom,Rear_legroom,Rear_shoulder,Fuel_capacity,Batt,Range
164,2022 GMC Sierra 3500HD,48448,5,3,1,401.0,11.75257731958760,3,21500.0,0.0,43.1,44.5,0.0,0.0,136.0,0.0,642.4584382871540
165,2022 GMC Yukon XL,62648,1,8,1,355.0,14.2,3,8300.0,1175.0,42.3,44.5,42.0,64.8,106.0,0.0,749.0
166,2022 Honda CR-V,30770,1,5,1,190.0,7.7,2,1500.0,1110.0,40.1,41.3,40.4,55.6,53.0,0.0,688.0
167,2022 Honda Civic Sedan,24465,2,5,1,158.0,6.9,2,0.0,419.0,39.3,42.3,37.4,56.0,47.0,0.0,681.0
168,2022 Honda HR-V,26200,1,5,1,141.0,7.8,2,1100.0,688.0,39.5,41.2,39.3,54.5,50.0,0.0,641.0
169,2022 Honda Pilot,46120,1,8,1,280.0,11.0,1,5000.0,524.0,39.5,40.9,38.4,62.0,74.0,0.0,671.0
170,2021 Honda Accord,33320,2,5,1,192.0,7.2,2,0.0,473.0,39.5,42.3,40.4,56.5,56.0,0.0,778.0
171,2022 Honda Odyssey,43605,6,8,1,280.0,10.6,2,3500.0,929.0,38.7,40.9,40.9,61.6,74.0,0.0,698.0
172,2021 Honda Accord Hybrid,37170,2,5,2,212.0,5.0,2,0.0,473.0,39.5,42.3,40.4,56.5,49.0,1.3,980.0
173,2022 Honda Civic Hatchback,28000,4,5,1,158.0,8.0,2,0.0,693.0,39.3,42.3,36.1,55.0,47.0,0.0,587.0
174,2021 Honda Civic Type R,46200,4,4,1,306.0,9.6,2,0.0,728.0,39.3,42.3,35.9,55.0,47.0,0.0,490.0
175,2021 Honda Clarity,44505,2,5,2,212.0,2.1,2,0.0,439.0,39.1,42.2,36.2,57.3,27.0,17.0,475.0
176,2021 Honda Insight,28490,2,5,2,151.0,4.9,2,0.0,428.0,39.1,42.2,36.2,57.3,40.0,1.2,819.0
177,2021 Honda Passport,45570,1,5,1,280.0,11.3,1,5000.0,1430.0,39.5,40.9,39.6,61.9,74.0,0.0,653.0
178,2022 Honda Ridgeline,45535,5,5,1,280.0,11.5,1,5000.0,0.0,39.5,40.9,36.7,61.5,74.0,0.0,643.0
179,2022 Hyundai Kona,21499,1,5,1,147.0,7.4,2,1100.0,544.0,39.6,41.5,35.2,54.5,50.0,0.0,678.0
180,2022 Hyundai Tucson,27799,1,5,1,187.0,8.2,2,3500.0,1095.0,40.1,41.4,41.3,56.0,54.0,0.0,659.0
181,2022 Hyundai Elantra,18099,2,5,1,147.0,7.8,2,0.0,402.0,40.6,42.3,38.0,55.6,47.0,0.0,599.0
182,2022 Hyundai Santa Fe,33699,1,5,1,191.0,10.0,1,2000.0,1032.0,40.0,41.4,41.7,58.3,67.0,0.0,669.0
